id,name,content_type_id,codename
233,Can add unit notes,59,add_unitnotes
234,Can change unit notes,59,change_unitnotes
235,Can delete unit notes,59,delete_unitnotes
236,Can view unit notes,59,view_unitnotes
237,Can add unit operators,60,add_unitoperators
238,Can change unit operators,60,change_unitoperators
239,Can delete unit operators,60,delete_unitoperators
240,Can view unit operators,60,view_unitoperators
241,Can add units,61,add_units
242,Can change units,61,change_units
243,Can delete units,61,delete_units
244,Can view units,61,view_units
245,Can add unit status,62,add_unitstatus
246,Can change unit status,62,change_unitstatus
247,Can delete unit status,62,delete_unitstatus
248,Can view unit status,62,view_unitstatus
249,Can add unit types,63,add_unittypes
250,Can change unit types,63,change_unittypes
251,Can delete unit types,63,delete_unittypes
252,Can view unit types,63,view_unittypes
253,Can add billing mile stone group members,64,add_billingmilestonegroupmembers
254,Can change billing mile stone group members,64,change_billingmilestonegroupmembers
255,Can delete billing mile stone group members,64,delete_billingmilestonegroupmembers
256,Can view billing mile stone group members,64,view_billingmilestonegroupmembers
257,Can add billing mile stone groups,65,add_billingmilestonegroups
258,Can change billing mile stone groups,65,change_billingmilestonegroups
259,Can delete billing mile stone groups,65,delete_billingmilestonegroups
260,Can view billing mile stone groups,65,view_billingmilestonegroups
261,Can add billing mile stone types,66,add_billingmilestonetypes
262,Can change billing mile stone types,66,change_billingmilestonetypes
263,Can delete billing mile stone types,66,delete_billingmilestonetypes
264,Can view billing mile stone types,66,view_billingmilestonetypes
265,Can add catalyst formulation components,67,add_catalystformulationcomponents
266,Can change catalyst formulation components,67,change_catalystformulationcomponents
267,Can delete catalyst formulation components,67,delete_catalystformulationcomponents
268,Can view catalyst formulation components,67,view_catalystformulationcomponents
269,Can add catalyst geometry types,68,add_catalystgeometrytypes
270,Can change catalyst geometry types,68,change_catalystgeometrytypes
271,Can delete catalyst geometry types,68,delete_catalystgeometrytypes
272,Can view catalyst geometry types,68,view_catalystgeometrytypes
273,Can add catalyst standard formulations,69,add_catalyststandardformulations
274,Can change catalyst standard formulations,69,change_catalyststandardformulations
275,Can delete catalyst standard formulations,69,delete_catalyststandardformulations
276,Can view catalyst standard formulations,69,view_catalyststandardformulations
277,Can add catalyst types,70,add_catalysttypes
278,Can change catalyst types,70,change_catalysttypes
279,Can delete catalyst types,70,delete_catalysttypes
280,Can view catalyst types,70,view_catalysttypes
281,Can add companies,71,add_companies
282,Can change companies,71,change_companies
283,Can delete companies,71,delete_companies
284,Can view companies,71,view_companies
285,Can add controlling cases,72,add_controllingcases
286,Can change controlling cases,72,change_controllingcases
287,Can delete controlling cases,72,delete_controllingcases
288,Can view controlling cases,72,view_controllingcases
289,Can add edge hardening types,73,add_edgehardeningtypes
290,Can change edge hardening types,73,change_edgehardeningtypes
291,Can delete edge hardening types,73,delete_edgehardeningtypes
292,Can view edge hardening types,73,view_edgehardeningtypes
293,Can add flow directions,74,add_flowdirections
294,Can change flow directions,74,change_flowdirections
295,Can delete flow directions,74,delete_flowdirections
296,Can view flow directions,74,view_flowdirections
297,Can add guarantee parameters,75,add_guaranteeparameters
298,Can change guarantee parameters,75,change_guaranteeparameters
299,Can delete guarantee parameters,75,delete_guaranteeparameters
300,Can view guarantee parameters,75,view_guaranteeparameters
301,Can add guarantee types,76,add_guaranteetypes
302,Can change guarantee types,76,change_guaranteetypes
303,Can delete guarantee types,76,delete_guaranteetypes
304,Can view guarantee types,76,view_guaranteetypes
305,Can add hg operating conditions,77,add_hgoperatingconditions
306,Can change hg operating conditions,77,change_hgoperatingconditions
307,Can delete hg operating conditions,77,delete_hgoperatingconditions
308,Can view hg operating conditions,77,view_hgoperatingconditions
309,Can add module materials,78,add_modulematerials
310,Can change module materials,78,change_modulematerials
311,Can delete module materials,78,delete_modulematerials
312,Can view module materials,78,view_modulematerials
313,Can add module styles,79,add_modulestyles
314,Can change module styles,79,change_modulestyles
315,Can delete module styles,79,delete_modulestyles
316,Can view module styles,79,view_modulestyles
317,Can add module types,80,add_moduletypes
318,Can change module types,80,change_moduletypes
319,Can delete module types,80,delete_moduletypes
320,Can view module types,80,view_moduletypes
321,Can add operating conditions,81,add_operatingconditions
322,Can change operating conditions,81,change_operatingconditions
323,Can delete operating conditions,81,delete_operatingconditions
324,Can view operating conditions,81,view_operatingconditions
325,Can add operating condition types,82,add_operatingconditiontypes
326,Can change operating condition types,82,change_operatingconditiontypes
327,Can delete operating condition types,82,delete_operatingconditiontypes
328,Can view operating condition types,82,view_operatingconditiontypes
329,Can add payment terms,83,add_paymentterms
330,Can change payment terms,83,change_paymentterms
331,Can delete payment terms,83,delete_paymentterms
332,Can view payment terms,83,view_paymentterms
333,Can add plant locations,84,add_plantlocations
334,Can change plant locations,84,change_plantlocations
335,Can delete plant locations,84,delete_plantlocations
336,Can view plant locations,84,view_plantlocations
337,Can add scope items,85,add_scopeitems
338,Can change scope items,85,change_scopeitems
339,Can delete scope items,85,delete_scopeitems
340,Can view scope items,85,view_scopeitems
341,Can add scope types,86,add_scopetypes
342,Can change scope types,86,change_scopetypes
343,Can delete scope types,86,delete_scopetypes
344,Can view scope types,86,view_scopetypes
345,Can add shipping terms,87,add_shippingterms
346,Can change shipping terms,87,change_shippingterms
347,Can delete shipping terms,87,delete_shippingterms
348,Can view shipping terms,87,view_shippingterms
349,Can add signoff,88,add_signoff
350,Can change signoff,88,change_signoff
351,Can delete signoff,88,delete_signoff
352,Can view signoff,88,view_signoff
353,Can add signoff template,89,add_signofftemplate
354,Can change signoff template,89,change_signofftemplate
355,Can delete signoff template,89,delete_signofftemplate
356,Can view signoff template,89,view_signofftemplate
357,Can add standard formulation components,90,add_standardformulationcomponents
358,Can change standard formulation components,90,change_standardformulationcomponents
359,Can delete standard formulation components,90,delete_standardformulationcomponents
360,Can view standard formulation components,90,view_standardformulationcomponents
361,Can add user profile,91,add_userprofile
362,Can change user profile,91,change_userprofile
363,Can delete user profile,91,delete_userprofile
364,Can view user profile,91,view_userprofile
365,Can add corrugated catalysts,92,add_corrugatedcatalysts
366,Can change corrugated catalysts,92,change_corrugatedcatalysts
367,Can delete corrugated catalysts,92,delete_corrugatedcatalysts
368,Can view corrugated catalysts,92,view_corrugatedcatalysts
369,Can add honeycomb catalysts,93,add_honeycombcatalysts
370,Can change honeycomb catalysts,93,change_honeycombcatalysts
371,Can delete honeycomb catalysts,93,delete_honeycombcatalysts
372,Can view honeycomb catalysts,93,view_honeycombcatalysts
373,Can add plate catalysts,94,add_platecatalysts
374,Can change plate catalysts,94,change_platecatalysts
375,Can delete plate catalysts,94,delete_platecatalysts
376,Can view plate catalysts,94,view_platecatalysts
377,Can add round honeycomb catalysts,95,add_roundhoneycombcatalysts
378,Can change round honeycomb catalysts,95,change_roundhoneycombcatalysts
379,Can delete round honeycomb catalysts,95,delete_roundhoneycombcatalysts
380,Can view round honeycomb catalysts,95,view_roundhoneycombcatalysts
381,Can add catalyst based parts,96,add_catalystbasedparts
382,Can change catalyst based parts,96,change_catalystbasedparts
383,Can delete catalyst based parts,96,delete_catalystbasedparts
384,Can view catalyst based parts,96,view_catalystbasedparts
385,Can add module sealing location,97,add_modulesealinglocation
386,Can change module sealing location,97,change_modulesealinglocation
387,Can delete module sealing location,97,delete_modulesealinglocation
388,Can view module sealing location,97,view_modulesealinglocation
389,Can add module details,98,add_moduledetails
390,Can change module details,98,change_moduledetails
391,Can delete module details,98,delete_moduledetails
392,Can view module details,98,view_moduledetails
393,Can add module jacking type,99,add_modulejackingtype
394,Can change module jacking type,99,change_modulejackingtype
395,Can delete module jacking type,99,delete_modulejackingtype
396,Can view module jacking type,99,view_modulejackingtype
397,Can add session,100,add_session
398,Can change session,100,change_session
399,Can delete session,100,delete_session
400,Can view session,100,view_session
401,Can add site,101,add_site
402,Can change site,101,change_site
403,Can delete site,101,delete_site
404,Can view site,101,view_site
405,Can add test workbook,102,add_testworkbook
406,Can change test workbook,102,change_testworkbook
407,Can delete test workbook,102,delete_testworkbook
408,Can view test workbook,102,view_testworkbook
409,Can add reactor test run,103,add_reactortestrun
410,Can change reactor test run,103,change_reactortestrun
411,Can delete reactor test run,103,delete_reactortestrun
412,Can view reactor test run,103,view_reactortestrun
413,Can add test worksheet,104,add_testworksheet
414,Can change test worksheet,104,change_testworksheet
415,Can delete test worksheet,104,delete_testworksheet
416,Can view test worksheet,104,view_testworksheet
417,Can add reactor location,105,add_reactorlocation
418,Can change reactor location,105,change_reactorlocation
419,Can delete reactor location,105,delete_reactorlocation
420,Can view reactor location,105,view_reactorlocation
421,Can add request type,106,add_requesttype
422,Can change request type,106,change_requesttype
423,Can delete request type,106,delete_requesttype
424,Can view request type,106,view_requesttype
