Reactor Loads Summary (created on 2025-03-10 16:45:01)

================================================================================
RECENT REACTOR LOADS (after October 1, 2024)
================================================================================
LoadID | LRF Number | Job Number | PCN | Submitted Date | Submitted By | Test Type | Test Condition | Reactor | Condition Type | Sample Count
641 | LR-25-00152 | 240571 | 5780 | 2025-02-28 13:17:00.796930 | thornburgba | Bench | Weston New DB Fall 2025 (5780) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
640 | LR-25-00152 | 240571 | 5780 | 2025-02-28 13:17:00.796930 | thornburgba | Bench | Weston New DB Fall 2025 (5780) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
639 | LR-25-00152 | 240571 | 5780 | 2025-02-28 13:17:00.796930 | thornburgba | Bench | Weston New DB Fall 2025 (5780) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
638 | LR-25-00151 | 250003 | 6412 | 2025-02-28 12:39:47.114457 | thornburgba | Bench | Bill Greehey Crude Heaters Spare (6412) NOx Type 2 | Full Bench | NOx Removal | 1
637 | LR-25-00149 | 210445-1 | 2907 | 2025-02-28 12:37:21.822830 | k.johnson | Bench | 2907 Greensville CO Ox | Full Bench | CO Oxidation | 1
636 | LR-25-00150 | 240535 | 6368 | 2025-02-28 12:36:22.675617 | thornburgba | Bench | Goldstrike 4 2025 (6368) NOx Type 2 | Full Bench | NOx Removal | 1
635 | LR-25-00148 | 250004 | 5786 | 2025-02-28 12:30:26.366420 | thornburgba | Bench | Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
634 | LR-25-00148 | 250004 | 5786 | 2025-02-28 12:30:26.366420 | thornburgba | Bench | Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
633 | LR-25-00148 | 250004 | 5786 | 2025-02-28 12:30:26.366420 | thornburgba | Bench | Lightstone Gavin Fall 2025 Rx 1 and 3 - 26x6 (5786) NOx - EPRI/VGB | Full Bench | NOx Removal | 1
632 | LR-25-00147 | 250004 | 5785 | 2025-02-27 15:41:58.699174 | thornburgba | Bench | Lightstone Gavin Fall 2025 Rx 1 and 3 - 18x9 (5785) NOx EPRI/VGB | Full Bench | NOx Removal | 1
631 | LR-25-00147 | 250004 | 5785 | 2025-02-27 15:41:58.699174 | thornburgba | Bench | Lightstone Gavin Fall 2025 Rx 1 and 3 - 18x9 (5785) NOx EPRI/VGB | Full Bench | NOx Removal | 1
630 | LR-25-00146 | 240378 | 6334 | 2025-02-27 13:17:22.463677 | thornburgba | Bench | Torrance Reformer U4F-1 Repl 2024 (6334) Type 2 | Full Bench | NOx Removal | 1
629 | LR-25-00145 | 240594 | 6393 | 2025-02-27 13:10:40.405481 | thornburgba | Bench | 311JA Solar Titan SCR Catalyst Replacement (6393) Type 2 | Full Bench | NOx Removal | 1
628 | LR-25-00144 | 240598 | 6398 | 2025-02-27 12:56:43.980240 | thornburgba | Bench | Madison NOx Catalyst (6398) Type 2 | Full Bench | NOx Removal | 1
627 | LR-25-00143 | 240567 | 6384 | 2025-02-27 12:53:39.805690 | thornburgba | Bench | Shenzhen Kaisheng ME Sabah Qibin (6384) Type 2 | Full Bench | NOx Removal | 1
626 | LR-25-00142 | 240597 | 6397 | 2025-02-27 12:48:36.242198 | thornburgba | Bench | Franklin NOx Catalyst (6397) Type 2 | Full Bench | NOx Removal | 1
625 | LR-25-00141 | 240601 | 6399 | 2025-02-27 12:24:49.205505 | thornburgba | Micro | MOD NC RFAAP (6399) NOx-Type 2 | Micro 1 | NOx Removal | 1
624 | LR-25-00140 | 250041 | 5787 | 2025-02-27 12:09:55.585885 | thornburgba | Bench | S59-15STa Standard Activity Test | Full Bench | NOx Removal | 1
623 | LR-25-00139 | 240459 | 6371 | 2025-02-27 09:38:35.403255 | thornburgba | Bench | Mir-Plains End M3 POA033767 (6371) CO Oxidation / VOC Removal | Full Bench | CO Oxidation | 1
622 | LR-25-00138 | 240281 | 6282 | 2025-02-26 16:35:19.169821 | thornburgba | Bench | Solar Temple University (6282) Type 2 | Full Bench | NOx Removal | 1
621 | LR-25-00137 | 250035 | 6419 | 2025-02-26 16:29:39.955898 | thornburgba | Bench | Big Spring Boiler 24 SCR Repl (6419) Type 2 | Full Bench | NOx Removal | 1
620 | LR-25-00136 | 250029 | 6417 | 2025-02-26 16:22:41.350989 | thornburgba | Bench | Valero Three Rivers 54F2 Spare (6417) Type 2 | Full Bench | NOx Removal | 1
619 | LR-25-00135 | 240604 | 6400 | 2025-02-26 16:16:43.461850 | thornburgba | Bench | Aera Energy Cogen 32 (McKittrick) (6400) Type 2 | Full Bench | NOx Removal | 1
618 | LR-25-00134 | 240606 | 6401 | 2025-02-26 15:07:45.999603 | thornburgba | Bench | Solaris xAI Memphis Data Center (6401,6402) Type 2 | Full Bench | NOx Removal | 2
617 | LR-25-00133 | 240547 | 6369 | 2025-02-26 14:53:40.519245 | thornburgba | Bench | Oxnard SCR Replmt s25 (6369) Type 2 | Full Bench | NOx Removal | 1
616 | LR-25-00132 | 240564 | 6380 | 2025-02-26 14:47:08.078387 | thornburgba | Bench | Kinder Morgan Unit B Replmt (6380) Type 2 | Full Bench | NOx Removal | 1
615 | LR-25-00131 | 250079 | 2763 | 2025-02-25 16:28:06.536214 | k.johnson | Bench | 2763 Santan 6 | Full Bench | NOx Removal | 1
614 | LR-25-00130 | 250079 | 2784 | 2025-02-25 15:21:38.842463 | k.johnson | Bench | 2784 Santan 5 | Full Bench | NOx Removal | 1
613 | LR-25-00130 | 250079 | 2784 | 2025-02-25 15:21:38.842463 | k.johnson | Bench | 2784 Santan 5 | Full Bench | NOx Removal | 1
612 | LR-25-00129 | 240394 | N/A | 2025-02-24 10:50:20.312098 | c.decker | Bench | Winyah U1 NOx Removal | Full Bench | NOx Removal | 1
611 | LR-25-00128 | 240541 | N/A | 2025-02-24 10:47:18.405943 | c.decker | Bench | Gibson U1 NOx | Full Bench | NOx Removal | 1
610 | LR-25-00126 | 250067 | N/A | 2025-02-17 13:06:56.959114 | congerma | Bench | 5 Temperature Ramp for Wolf Hills | Full Bench | CO Oxidation | 1
609 | LR-25-00126 | 250067 | N/A | 2025-02-17 13:06:56.959114 | congerma | Bench | 5 Temperature Ramp for Wolf Hills | Full Bench | CO Oxidation | 1
608 | LR-25-00125 | 240578 | 6390 | 2025-02-14 11:14:20.185959 | thornburgba | Bench | NOx Type 2 | Full Bench | NOx Removal | 1
607 | LR-25-00125 | 240578 | 6390 | 2025-02-14 11:14:20.185959 | thornburgba | Bench | NOx Type 2 | Full Bench | NOx Removal | 1
606 | LR-25-00124 | 240539 | N/A | 2025-02-13 20:30:37.154354 | c.decker | Bench | Gibson U1 NOx | Full Bench | NOx Removal | 1
605 | LR-25-00123 | 240316 | N/A | 2025-02-13 20:13:29.587238 | c.decker | Bench | Cross U3 NOx | Full Bench | NOx Removal | 1
604 | LR-25-00122 | 240545 | N/A | 2025-02-13 19:35:57.573674 | c.decker | Bench | Miami Fort U8 NOx | Full Bench | NOx Removal | 1
603 | LR-25-00121 | 230350 | 2121 | 2025-02-11 16:18:42.299979 | k.johnson | Bench | 2021 Roseville | Full Bench | NOx Removal | 1
602 | LR-25-00120 | 240508 | N/A | 2025-02-07 19:40:40.264895 | c.decker | Bench | Kincaid U2 NOx | Full Bench | NOx Removal | 1
601 | LR-25-00118 | 240508 | N/A | 2025-02-07 19:23:16.005976 | c.decker | Bench | Kincaid U2 NOx | Full Bench | NOx Removal | 1
600 | LR-25-00119 | 240394 | N/A | 2025-02-07 15:26:16.751151 | c.decker | Bench | Winyah U1 NOx Removal | Full Bench | NOx Removal | 1
598 | LR-25-00117 | 240267 | 6276 | 2025-02-07 13:19:39.110581 | congerma | Bench | Astoria II (6276) w/ CO | Full Bench | NOx Removal | 1
523 | LR-25-00062 | 250005 | 4387 | 2025-02-05 12:12:48.211880 | congerma | Bench | TokaiBorger DeNOx | Full Bench | NOx Removal | 1
597 | LR-25-00114 | 240148-1 | N/A | 2025-02-05 12:00:04.773832 | c.decker | Bench | Baldwin NOx | Full Bench | NOx Removal | 1
596 | LR-25-00113 | 240148-1 | N/A | 2025-02-05 11:57:51.490064 | c.decker | Bench | Baldwin NOx | Full Bench | NOx Removal | 1
595 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
594 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
593 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
592 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
591 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
590 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
589 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
588 | LR-25-00112 | 250047 | N/A | 2025-02-05 11:14:19.915477 | r.glickert | Bench | Elm Road U | Full Bench | NOx Removal | 1
587 | LR-25-00111 | 240297 | 5764 | 2025-01-31 14:40:06.462353 | thornburgba | Bench | Harrison U3L1 DB s25 (5764) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
586 | LR-25-00110 | 240549 | 4495 | 2025-01-30 17:30:43.070730 | congerma | Bench | New Indy North | Full Bench | NOx Removal | 1
585 | LR-25-00108 | 240409 | 4995 | 2025-01-30 16:15:34.409333 | k.johnson | Bench | 4995 OGE Redbud U4 | Full Bench | NOx Removal | 1
584 | LR-25-00106 | N/A | 2112 | 2025-01-29 15:29:01.857973 | congerma | Bench | Radford C C-Line (Legacy) | Full Bench | NOx Removal | 1
582 | LR-25-00105 | 240592 | 2611 | 2025-01-23 16:58:12.542929 | congerma | Bench | Baytown WHB 68 | Full Bench | NOx Removal | 1
581 | LR-25-00104 | 220232-1 | 2571 | 2025-01-23 15:24:33.005636 | k.johnson | Bench | 2571 Warren County CO | Full Bench | CO Oxidation | 1
580 | LR-25-00104 | 220232-1 | 2571 | 2025-01-23 15:24:33.005636 | k.johnson | Bench | 2571 Warren County CO | Full Bench | CO Oxidation | 1
579 | LR-25-00104 | 220232-1 | 2571 | 2025-01-23 15:24:33.005636 | k.johnson | Bench | 2571 Warren County CO | Full Bench | CO Oxidation | 1
578 | LR-25-00103 | 240511 | 5775 | 2025-01-23 10:48:38.320191 | thornburgba | Bench | PBF Energy Toledo New Catalyst (5775) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
577 | LR-25-00102 | 240422 | 5771 | 2025-01-23 10:45:55.400975 | thornburgba | Bench | Crystal River Unit 5 Layer 2 Fall 25 Replacement - 26x6 DB (5771) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
576 | LR-25-00101 | 240422 | 5772 | 2025-01-23 10:42:14.678202 | thornburgba | Bench | Crystal River Unit 5 layer 2 Fall 25 Replacement - 22 cell (5772) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
575 | LR-25-00101 | 240422 | 5772 | 2025-01-23 10:42:14.678202 | thornburgba | Bench | Crystal River Unit 5 layer 2 Fall 25 Replacement - 22 cell (5772) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
574 | LR-25-00101 | 240422 | 5772 | 2025-01-23 10:42:14.678202 | thornburgba | Bench | Crystal River Unit 5 layer 2 Fall 25 Replacement - 22 cell (5772) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
573 | LR-25-00100 | 240573 | 6385 | 2025-01-23 10:37:06.872719 | thornburgba | Bench | Carson FCC Replmt (6385) - NOx Type 2 | Full Bench | NOx Removal | 3
572 | LR-25-00100 | 240573 | 6385 | 2025-01-23 10:37:06.872719 | thornburgba | Bench | Carson FCC Replmt (6385) - NOx Type 2 | Full Bench | NOx Removal | 3
571 | LR-25-00099 | 240556 | 6374 | 2025-01-23 10:26:46.968680 | thornburgba | Bench | Citgo Lemont FCC replmt 2025 (6374) - NOx Type 2 | Full Bench | NOx Removal | 2
570 | LR-25-00099 | 240556 | 6374 | 2025-01-23 10:26:46.968680 | thornburgba | Bench | Citgo Lemont FCC replmt 2025 (6374) - NOx Type 2 | Full Bench | NOx Removal | 2
569 | LR-25-00098 | 240541 | 5778 | 2025-01-23 10:21:58.021773 | thornburgba | Bench | Gibson U1 L2 Sp25-DB-New (5778) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
568 | LR-25-00097 | 240539 | 5777 | 2025-01-23 10:19:13.885606 | thornburgba | Bench | Gibson U1 L1 Sp25-DB New (5777) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
567 | LR-25-00096 | 240579 | 5781 | 2025-01-23 10:06:47.650709 | thornburgba | Bench | Birla Carbon Thailand (BCTR) Units 1 and 2 (5781) - NOx Type 2 | Full Bench | NOx Removal | 3
566 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
565 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
564 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
563 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
562 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
561 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
560 | LR-25-00095 | 240470 | 5774 | 2025-01-23 10:00:21.064678 | thornburgba | Bench | AECI New Madrid 2 Layers Spring 2025 (5774) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
559 | LR-25-00094 | 240300 | 5779 | 2025-01-23 09:53:27.998521 | thornburgba | Bench | Amos Uint 2 Layer 2 18 x 9 DB Spring 25 (5779) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
558 | LR-25-00094 | 240300 | 5779 | 2025-01-23 09:53:27.998521 | thornburgba | Bench | Amos Uint 2 Layer 2 18 x 9 DB Spring 25 (5779) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
557 | LR-25-00093 | 240391 | 5770 | 2025-01-22 16:39:04.860824 | thornburgba | Bench | Black Hills Power Wygen New Catalyst Purchase Spring 2025 (5770) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
556 | LR-25-00092 | 240251 | 5769 | 2025-01-22 16:35:25.341256 | thornburgba | Bench | Joliet Relmt Feb 2025 (5769) - NOx Type 2 | Full Bench | NOx Removal | 3
555 | LR-25-00091 | 240316 | 5767 | 2025-01-22 16:30:00.965807 | thornburgba | Bench | Cross U3 Hyb New 18x9 s25 (5767) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
554 | LR-25-00090 | 240297 | 5764 | 2025-01-22 16:11:14.839749 | thornburgba | Bench | Harrison U3L1 DB s25 (5764) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
553 | LR-25-00090 | 240297 | 5764 | 2025-01-22 16:11:14.839749 | thornburgba | Bench | Harrison U3L1 DB s25 (5764) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
552 | LR-25-00089 | 230593 | 5747 | 2025-01-22 16:02:32.357065 | thornburgba | Bench | DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
551 | LR-25-00089 | 230593 | 5747 | 2025-01-22 16:02:32.357065 | thornburgba | Bench | DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
550 | LR-25-00089 | 230593 | 5747 | 2025-01-22 16:02:32.357065 | thornburgba | Bench | DTE Monroe U4L4 Spr 2025 (5747) - NOx EPRI/VGB | Full Bench | NOx Removal | 1
549 | LR-25-00088 | 230012 | 5708 | 2025-01-22 15:49:27.710596 | thornburgba | Bench | Shawnee U3 Supply f23 (5708) - 100% PRB Fuel SO2 Oxidation | Full Bench | SO2 Oxidation | 2
548 | LR-25-00087 | 240418 | 6346 | 2025-01-22 12:36:45.318549 | thornburgba | Bench | McNeil Replacement (6346) - NOx Type 2 | Full Bench | NOx Removal | 1
547 | LR-25-00086 | 240413 | 6344 | 2025-01-22 12:33:09.367631 | thornburgba | Bench | Yara Adamov (6344) - NOx Type 2 | Full Bench | NOx Removal | 1
546 | LR-25-00085 | 240494 | 6360 | 2025-01-22 12:29:19.431936 | thornburgba | Bench | El Segundo 4CU R-1190 Replacement 2025 (6360) - NOx Type 2 | Full Bench | NOx Removal | 1
545 | LR-25-00084 | 240302 | 6292 | 2025-01-22 12:26:30.081145 | thornburgba | Bench | Targa Mont Belvieu 11AB (6292) - NOx Type 2 | Full Bench | NOx Removal | 1
544 | LR-25-00083 | 240593 | 6392 | 2025-01-22 12:23:54.836506 | thornburgba | Bench | Valero Three Rivers 54F2 f25 (6392) - NOx Type 2 | Full Bench | NOx Removal | 1
543 | LR-25-00082 | 240533 | 6367 | 2025-01-22 12:21:11.671989 | thornburgba | Bench | Enterprise Mt Belvieu Aux Blr A Repl25 (6367) - NOx Type 2 | Full Bench | NOx Removal | 1
542 | LR-25-00081 | 240490 | 6366 | 2025-01-22 10:32:08.562877 | thornburgba | Bench | Enterprise Mt Belvieu Aux Blr B Repl25 (6366) - NOx Type 2 | Full Bench | NOx Removal | 1
541 | LR-25-00080 | 240570 | 6383 | 2025-01-22 10:28:38.975375 | thornburgba | Bench | P66 Rodeo U250 (6383) - NOx Type 2 | Full Bench | NOx Removal | 1
540 | LR-25-00079 | 240515 | 6363 | 2025-01-22 10:25:16.846500 | thornburgba | Bench | Shanxi Sihe Replmt 2025 (6363) - NOx Type 2 | Full Bench | NOx Removal | 1
539 | LR-25-00078 | 240421 | 6351 | 2025-01-22 10:01:23.562697 | thornburgba | Bench | Crusoe Titan T-350 (6351,6352) - NOx Type 2 | Full Bench | NOx Removal | 2
538 | LR-25-00077 | 240421 | 6349 | 2025-01-22 09:56:19.468925 | thornburgba | Bench | Crusoe LM2500 (6349) - NOx Type 2 | Full Bench | NOx Removal | 2
537 | LR-25-00076 | 240559 | 6375 | 2025-01-22 09:49:31.861156 | thornburgba | Bench | Ras Laffan C Replacement U8 (6375) - NOx Type 2 | Full Bench | NOx Removal | 1
536 | LR-25-00075 | 240105 | 6226 | 2025-01-21 14:53:15.981772 | thornburgba | Bench | Pro Energy Tinker (6226) - NOx Type 2 | Full Bench | NOx Removal | 1
535 | LR-25-00074 | 230169 | 6070 | 2025-01-21 14:48:08.704099 | thornburgba | Bench | Orange County Advanced Power Station (6070) - NOx Type 2 | Full Bench | NOx Removal | 1
534 | LR-25-00073 | 230460 | 6160 | 2025-01-21 14:43:42.825834 | thornburgba | Bench | Chuantou Luzhou U2 (6160) - NOx Type 2 | Full Bench | NOx Removal | 1
533 | LR-25-00072 | 240381 | 6335 | 2025-01-21 14:40:44.336488 | thornburgba | Bench | AECC - Thomas Fitzhugh (6335) - NOx Type 2 | Full Bench | NOx Removal | 1
532 | LR-25-00071 | 240569 | 6382 | 2025-01-21 14:31:44.530815 | thornburgba | Bench | UC Davis Medical Center - Central Plant (6382) - NOx Type 2 | Full Bench | NOx Removal | 1
531 | LR-25-00070 | 240373 | 6330 | 2025-01-21 14:20:01.607750 | thornburgba | Bench | West Valley Replmt 2025 - NOx Type 2 | Full Bench | NOx Removal | 1
530 | LR-25-00069 | 240348 | 6317 | 2025-01-21 14:12:07.657556 | thornburgba | Bench | Mountain Peak Tesla (6317,6318) - NOx Type 2 | Full Bench | NOx Removal | 2
529 | LR-25-00068 | 240525 | 6376 | 2025-01-21 13:06:57.149396 | thornburgba | Bench | KIAC 2025 Replacement (6376,6381) - NOx Type 2 | Full Bench | NOx Removal | 2
528 | LR-25-00067 | 240481 | 6356 | 2025-01-21 12:50:56.947888 | thornburgba | Bench | MRP Vaca Dixon (6356) - NOx Type 2 | Full Bench | NOx Removal | 1
527 | LR-25-00065 | 240300 | N/A | 2025-01-17 16:50:21.846041 | c.decker | Bench | Amos U2 | Full Bench | NOx Removal | 1
526 | LR-25-00064 | 240531 | N/A | 2025-01-17 16:39:49.614013 | c.decker | Bench | Dallman U4 NOx | Full Bench | NOx Removal | 1
525 | LR-25-00063 | 240420 | 576 | 2025-01-16 16:11:10.447753 | congerma | Bench | Huntertown PN576 | Full Bench | NOx Removal | 1
524 | LR-25-00063 | 240420 | 576 | 2025-01-16 16:11:10.447753 | congerma | Bench | Huntertown PN576 | Full Bench | NOx Removal | 1
522 | LR-25-00061 | TBD | NonCM | 2025-01-16 13:28:34.571071 | congerma | Bench | Trimble2_deNOx | Full Bench | NOx Removal | 1
521 | LR-25-00061 | TBD | NonCM | 2025-01-16 13:28:34.571071 | congerma | Bench | Trimble2_deNOx | Full Bench | NOx Removal | 1
520 | LR-25-00061 | TBD | NonCM | 2025-01-16 13:28:34.571071 | congerma | Bench | Trimble2_deNOx | Full Bench | NOx Removal | 1
519 | LR-25-00061 | TBD | NonCM | 2025-01-16 13:28:34.571071 | congerma | Bench | Trimble2_deNOx | Full Bench | NOx Removal | 1
518 | LR-25-00061 | TBD | NonCM | 2025-01-16 13:28:34.571071 | congerma | Bench | Trimble2_deNOx | Full Bench | NOx Removal | 1
517 | LR-25-00061 | TBD | NonCM | 2025-01-16 13:28:34.571071 | congerma | Bench | Trimble2_deNOx | Full Bench | NOx Removal | 1
516 | LR-25-00060 | 240247 | 2680 | 2025-01-15 16:40:58.552960 | congerma | Bench | Napanee PN2680 | Full Bench | NOx Removal | 1
515 | LR-25-00060 | 240247 | 2680 | 2025-01-15 16:40:58.552960 | congerma | Bench | Napanee PN2680 | Full Bench | NOx Removal | 1
395 | LR-24-00223 | 240043 | 2632 | 2025-01-15 13:32:46.996711 | b.alligood | Bench | Sutter U1 | Full Bench | NOx Removal | 1
514 | LR-25-00059 | 240554 | 6373 | 2025-01-15 11:58:17.653785 | thornburgba | Bench | Sabine River Works BA109 (6373) - NOx Type 2 | Full Bench | NOx Removal | 1
513 | LR-25-00058 | 240565 | 6379 | 2025-01-15 11:55:57.562369 | thornburgba | Bench | Sinclair SMR Emergency Replace 2025 (6379) - NOx Type 2 | Full Bench | NOx Removal | 1
512 | LR-25-00057 | 240473 | 6355 | 2025-01-15 11:53:21.219792 | thornburgba | Bench | McPherson Reformer Repl. 2025 (6355) - NOx Type 2 | Full Bench | NOx Removal | 1
511 | LR-25-00056 | 240460 | 6358 | 2025-01-15 11:50:13.145955 | thornburgba | Bench | Dongguan PDH DeNMHC (6358) - VOC Removal | Full Bench | VOC Oxidation | 1
510 | LR-25-00055 | 240462 | 6354 | 2025-01-15 11:47:16.277089 | thornburgba | Bench | Dow Freeport LHC-9 Repl 2025 F-120 (6354) - NOx Type 2 | Full Bench | NOx Removal | 1
509 | LR-25-00054 | 240428 | 6347 | 2025-01-15 11:37:43.449641 | thornburgba | Bench | Harrison County Replmt s25 (6347) - NOx Type 2 | Full Bench | NOx Removal | 1
508 | LR-25-00053 | 240415 | 6345 | 2025-01-15 11:34:40.979325 | thornburgba | Bench | Dow FS-1 Retrofit (6345) - NOx Type 2 | Full Bench | NOx Removal | 1
507 | LR-25-00052 | 240377 | 6333 | 2025-01-15 11:30:29.014811 | thornburgba | Bench | Kings Mountain Energy Center SCR Repl s25 (6333) - NOx Type 2 | Full Bench | NOx Removal | 1
